"BehaviorSpace results (NetLogo 6.2.0)"
"ModeloBásico.nlogo"
"clientes-tiendas"
"10/03/2021 15:09:47:619 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-clientes","num-productos","num-tiendas","tam-lista","[step]","ticks"
"545","6","6","2","4","6070","6070"
"547","6","6","2","4","4247","4247"
"548","6","6","2","4","4395","4395"
"546","6","6","2","4","4962","4962"
"551","6","6","4","4","3989","3989"
"539","6","6","2","4","5819","5819"
"550","6","6","2","4","5185","5185"
"556","6","6","4","4","1251","1251"
"552","6","6","4","4","3177","3177"
"553","6","6","4","4","4142","4142"
"559","6","6","4","4","2385","2385"
"554","6","6","4","4","5405","5405"
"557","6","6","4","4","3996","3996"
"555","6","6","4","4","4722","4722"
"558","6","6","4","4","3520","3520"
"560","6","6","4","4","2043","2043"
"562","6","6","4","4","3098","3098"
"563","6","6","4","4","2101","2101"
"567","6","6","4","4","1380","1380"
"568","6","6","4","4","1607","1607"
"564","6","6","4","4","3021","3021"
"566","6","6","4","4","3105","3105"
"561","6","6","4","4","6123","6123"
"570","6","6","4","4","2418","2418"
"569","6","6","4","4","2856","2856"
"575","6","6","4","4","2071","2071"
"565","6","6","4","4","7509","7509"
"572","6","6","4","4","4215","4215"
"576","6","6","4","4","2203","2203"
"574","6","6","4","4","3498","3498"
"577","6","6","4","4","3120","3120"
"573","6","6","4","4","4168","4168"
"578","6","6","4","4","1961","1961"
"581","6","6","4","4","1745","1745"
"579","6","6","4","4","2581","2581"
"582","6","6","4","4","1949","1949"
"583","6","6","4","4","2187","2187"
"571","6","6","4","4","3622","3622"
"585","6","6","4","4","2339","2339"
"584","6","6","4","4","2640","2640"
"580","6","6","4","4","4057","4057"
"586","6","6","4","4","3150","3150"
"589","6","6","4","4","3160","3160"
"591","6","6","4","4","2720","2720"
"590","6","6","4","4","3695","3695"
"587","6","6","4","4","5573","5573"
"593","6","6","4","4","2883","2883"
"588","6","6","4","4","3781","3781"
"592","6","6","4","4","3475","3475"
"597","6","6","4","4","1941","1941"
"594","6","6","4","4","2987","2987"
"601","6","6","6","4","1041","1041"
"598","6","6","4","4","2317","2317"
"599","6","6","4","4","1910","1910"
"602","6","6","6","4","1170","1170"
"595","6","6","4","4","4885","4885"
"604","6","6","6","4","1652","1652"
"600","6","6","4","4","3200","3200"
"603","6","6","6","4","2863","2863"
"596","6","6","4","4","7015","7015"
"605","6","6","6","4","1903","1903"
"606","6","6","6","4","2229","2229"
"607","6","6","6","4","1119","1119"
"610","6","6","6","4","833","833"
"608","6","6","6","4","1825","1825"
"612","6","6","6","4","714","714"
"611","6","6","6","4","1236","1236"
"609","6","6","6","4","1366","1366"
"618","6","6","6","4","789","789"
"615","6","6","6","4","1710","1710"
"614","6","6","6","4","1754","1754"
"613","6","6","6","4","1777","1777"
"616","6","6","6","4","1843","1843"
"619","6","6","6","4","1862","1862"
"622","6","6","6","4","1136","1136"
"623","6","6","6","4","1449","1449"
"617","6","6","6","4","2214","2214"
"626","6","6","6","4","1442","1442"
"620","6","6","6","4","3330","3330"
"621","6","6","6","4","3973","3973"
"625","6","6","6","4","1849","1849"
"628","6","6","6","4","1533","1533"
"624","6","6","6","4","3757","3757"
"629","6","6","6","4","2258","2258"
"627","6","6","6","4","2245","2245"
"632","6","6","6","4","1222","1222"
"631","6","6","6","4","1492","1492"
"630","6","6","6","4","2394","2394"
"633","6","6","6","4","1562","1562"
"636","6","6","6","4","855","855"
"634","6","6","6","4","1858","1858"
"635","6","6","6","4","1718","1718"
"638","6","6","6","4","1386","1386"
"637","6","6","6","4","1421","1421"
"642","6","6","6","4","1337","1337"
"639","6","6","6","4","2502","2502"
"640","6","6","6","4","2512","2512"
"646","6","6","6","4","1462","1462"
"643","6","6","6","4","2057","2057"
"647","6","6","6","4","1090","1090"
"645","6","6","6","4","2450","2450"
"641","6","6","6","4","3122","3122"
"648","6","6","6","4","1553","1553"
"644","6","6","6","4","1751","1751"
"649","6","6","6","4","1502","1502"
"654","6","6","8","4","580","580"
"652","6","6","8","4","1189","1189"
"651","6","6","8","4","970","970"
"653","6","6","8","4","1196","1196"
"656","6","6","8","4","845","845"
"657","6","6","8","4","955","955"
"650","6","6","6","4","2556","2556"
"658","6","6","8","4","1029","1029"
"660","6","6","8","4","1240","1240"
"659","6","6","8","4","1660","1660"
"661","6","6","8","4","985","985"
"663","6","6","8","4","760","760"
"664","6","6","8","4","851","851"
"655","6","6","8","4","1934","1934"
"662","6","6","8","4","1646","1646"
"668","6","6","8","4","1049","1049"
"666","6","6","8","4","1208","1208"
