"BehaviorSpace results (NetLogo 6.2.0)"
"HelechosCon Infección.nlogo"
"experiment"
"09/02/2021 12:48:46:846 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"1253","20","27","16"
"1256","20","29","39"
"1258","20","31","74"
"1254","20","39","49"
"1255","20","35","6"
"1257","20","32","5"
"1259","20","34","18"
"1260","20","32","16"
"1261","20","29","21"
"1263","20","31","101"
"1262","20","33","31"
"1265","20","30","61"
"1266","20","28","58"
"1267","20","27","32"
"1264","20","31","45"
"1268","20","33","33"
"1269","20","34","35"
"1272","20","32","63"
"1270","20","32","22"
"1273","20","34","38"
"1274","20","35","18"
"1271","20","37","56"
"1276","20","28","42"
"1275","20","34","18"
"1278","20","33","28"
"1279","20","32","27"
"1280","20","28","36"
"1277","20","49","65"
"1283","20","32","26"
"1282","20","35","39"
"1281","20","44","143"
"1284","20","39","36"
"1286","20","30","30"
"1285","20","34","58"
"1289","20","28","29"
"1287","20","36","51"
"1288","20","37","20"
"1290","20","30","38"
"1291","20","31","47"
"1294","20","25","23"
"1293","20","34","21"
"1295","20","33","44"
"1292","20","26","14"
"1296","20","35","61"
"1297","20","33","27"
"1298","20","30","40"
"1300","20","33","61"
"1299","20","40","20"
"1301","20","34","26"
"1302","20","38","32"
"1303","20","31","18"
"1306","20","26","44"
"1305","20","31","41"
"1304","20","40","16"
"1307","20","27","86"
"1308","20","30","57"
"1310","20","31","46"
"1309","20","35","94"
"1312","20","29","35"
"1313","20","26","1"
"1311","20","28","22"
"1315","20","36","39"
"1316","20","29","22"
"1314","20","33","40"
